signal,root,direction,entry_timestamp,exit_timestamp,session_date,entry_price,exit_price,gross_points,lookback_bars,hold_bars,state,slippage_ticks_per_side,round_turn_cost_points,dollars_per_point,net_points,net_dollars
donchian_simple_60m,MNQ,short,2023-01-05T14:00:00+00:00,2023-01-05T17:00:00+00:00,2023-01-05,10868.0,10835.5,32.5,20,3,unclassified,1.0,0.5,2.0,32.0,64.0
donchian_simple_60m,MNQ,short,2023-01-06T09:00:00+00:00,2023-01-06T12:00:00+00:00,2023-01-06,10803.75,10795.5,8.25,20,3,unclassified,1.0,0.5,2.0,7.75,15.5
donchian_simple_60m,MNQ,long,2023-01-06T13:00:00+00:00,2023-01-06T16:00:00+00:00,2023-01-06,10943.25,11024.25,81.0,20,3,unclassified,1.0,0.5,2.0,80.5,161.0
donchian_simple_60m,MNQ,long,2023-01-06T18:00:00+00:00,2023-01-06T21:00:00+00:00,2023-01-06,11072.0,11107.75,35.75,20,3,unclassified,1.0,0.5,2.0,35.25,70.5
donchian_simple_60m,MNQ,long,2023-01-09T04:00:00+00:00,2023-01-09T07:00:00+00:00,2023-01-08,11174.0,11131.0,-43.0,20,3,unclassified,1.0,0.5,2.0,-43.5,-87.0
donchian_simple_60m,MNQ,long,2023-01-09T14:00:00+00:00,2023-01-09T17:00:00+00:00,2023-01-09,11310.5,11355.0,44.5,20,3,unclassified,1.0,0.5,2.0,44.0,88.0
donchian_simple_60m,MNQ,short,2023-01-10T12:00:00+00:00,2023-01-10T15:00:00+00:00,2023-01-10,11117.5,11208.0,-90.5,20,3,unclassified,1.0,0.5,2.0,-91.0,-182.0
donchian_simple_60m,MNQ,long,2023-01-10T20:00:00+00:00,2023-01-11T00:00:00+00:00,2023-01-10,11285.5,11296.0,10.5,20,3,unclassified,1.0,0.5,2.0,10.0,20.0
donchian_simple_60m,MNQ,long,2023-01-11T09:00:00+00:00,2023-01-11T12:00:00+00:00,2023-01-11,11304.25,11297.75,-6.5,20,3,unclassified,1.0,0.5,2.0,-7.0,-14.0
donchian_simple_60m,MNQ,long,2023-01-11T14:00:00+00:00,2023-01-11T17:00:00+00:00,2023-01-11,11336.75,11401.5,64.75,20,3,unclassified,1.0,0.5,2.0,64.25,128.5
donchian_simple_60m,MNQ,long,2023-01-11T20:00:00+00:00,2023-01-12T00:00:00+00:00,2023-01-11,11476.0,11470.5,-5.5,20,3,unclassified,1.0,0.5,2.0,-6.0,-12.0
donchian_simple_60m,MNQ,long,2023-01-12T04:00:00+00:00,2023-01-12T07:00:00+00:00,2023-01-11,11487.25,11464.25,-23.0,20,3,unclassified,1.0,0.5,2.0,-23.5,-47.0
donchian_simple_60m,MNQ,long,2023-01-12T12:00:00+00:00,2023-01-12T15:00:00+00:00,2023-01-12,11496.0,11429.5,-66.5,20,3,unclassified,1.0,0.5,2.0,-67.0,-134.0
donchian_simple_60m,MNQ,long,2023-01-13T18:00:00+00:00,2023-01-13T21:00:00+00:00,2023-01-13,11560.75,11601.25,40.5,20,3,unclassified,1.0,0.5,2.0,40.0,80.0
donchian_simple_60m,MNQ,long,2023-01-16T01:00:00+00:00,2023-01-16T04:00:00+00:00,2023-01-15,11632.25,11618.0,-14.25,20,3,unclassified,1.0,0.5,2.0,-14.75,-29.5
donchian_simple_60m,MNQ,long,2023-01-17T14:00:00+00:00,2023-01-17T17:00:00+00:00,2023-01-17,11614.0,11626.5,12.5,20,3,unclassified,1.0,0.5,2.0,12.0,24.0
donchian_simple_60m,MNQ,short,2023-01-18T16:00:00+00:00,2023-01-18T19:00:00+00:00,2023-01-18,11550.5,11524.0,26.5,20,3,unclassified,1.0,0.5,2.0,26.0,52.0
donchian_simple_60m,MNQ,short,2023-01-18T20:00:00+00:00,2023-01-19T00:00:00+00:00,2023-01-18,11479.5,11452.5,27.0,20,3,unclassified,1.0,0.5,2.0,26.5,53.0
donchian_simple_60m,MNQ,short,2023-01-19T07:00:00+00:00,2023-01-19T10:00:00+00:00,2023-01-19,11444.75,11413.0,31.75,20,3,unclassified,1.0,0.5,2.0,31.25,62.5
donchian_simple_60m,MNQ,short,2023-01-19T11:00:00+00:00,2023-01-19T14:00:00+00:00,2023-01-19,11384.0,11395.5,-11.5,20,3,unclassified,1.0,0.5,2.0,-12.0,-24.0
donchian_simple_60m,MNQ,short,2023-01-19T15:00:00+00:00,2023-01-19T18:00:00+00:00,2023-01-19,11335.25,11396.5,-61.25,20,3,unclassified,1.0,0.5,2.0,-61.75,-123.5
donchian_simple_60m,MNQ,long,2023-01-20T16:00:00+00:00,2023-01-20T19:00:00+00:00,2023-01-20,11524.25,11626.25,102.0,20,3,unclassified,1.0,0.5,2.0,101.5,203.0
donchian_simple_60m,MNQ,long,2023-01-20T20:00:00+00:00,2023-01-23T00:00:00+00:00,2023-01-20,11675.75,11658.5,-17.25,20,3,unclassified,1.0,0.5,2.0,-17.75,-35.5
donchian_simple_60m,MNQ,long,2023-01-23T14:00:00+00:00,2023-01-23T17:00:00+00:00,2023-01-23,11801.0,11942.25,141.25,20,3,unclassified,1.0,0.5,2.0,140.75,281.5
donchian_simple_60m,MNQ,long,2023-01-23T18:00:00+00:00,2023-01-23T21:00:00+00:00,2023-01-23,11958.5,11935.0,-23.5,20,3,unclassified,1.0,0.5,2.0,-24.0,-48.0
donchian_simple_60m,MNQ,short,2023-01-24T13:00:00+00:00,2023-01-24T16:00:00+00:00,2023-01-24,11848.75,11917.5,-68.75,20,3,unclassified,1.0,0.5,2.0,-69.25,-138.5
donchian_simple_60m,MNQ,long,2023-01-24T21:00:00+00:00,2023-01-25T01:00:00+00:00,2023-01-24,11972.75,11805.5,-167.25,20,3,unclassified,1.0,0.5,2.0,-167.75,-335.5
donchian_simple_60m,MNQ,short,2023-01-25T09:00:00+00:00,2023-01-25T12:00:00+00:00,2023-01-25,11784.5,11762.75,21.75,20,3,neutral,1.0,0.5,2.0,21.25,42.5
donchian_simple_60m,MNQ,short,2023-01-25T13:00:00+00:00,2023-01-25T16:00:00+00:00,2023-01-25,11710.0,11765.0,-55.0,20,3,neutral,1.0,0.5,2.0,-55.5,-111.0
donchian_simple_60m,MNQ,long,2023-01-25T20:00:00+00:00,2023-01-26T00:00:00+00:00,2023-01-25,11875.0,11899.0,24.0,20,3,neutral,1.0,0.5,2.0,23.5,47.0
donchian_simple_60m,MNQ,long,2023-01-26T05:00:00+00:00,2023-01-26T08:00:00+00:00,2023-01-26,11935.0,11936.5,1.5,20,3,expansion,1.0,0.5,2.0,1.0,2.0
donchian_simple_60m,MNQ,long,2023-01-26T12:00:00+00:00,2023-01-26T15:00:00+00:00,2023-01-26,11993.25,11920.25,-73.0,20,3,expansion,1.0,0.5,2.0,-73.5,-147.0
donchian_simple_60m,MNQ,long,2023-01-26T20:00:00+00:00,2023-01-27T00:00:00+00:00,2023-01-26,12104.75,12048.0,-56.75,20,3,expansion,1.0,0.5,2.0,-57.25,-114.5
donchian_simple_60m,MNQ,long,2023-01-27T14:00:00+00:00,2023-01-27T17:00:00+00:00,2023-01-27,12131.5,12224.5,93.0,20,3,neutral,1.0,0.5,2.0,92.5,185.0
donchian_simple_60m,MNQ,long,2023-01-27T18:00:00+00:00,2023-01-27T21:00:00+00:00,2023-01-27,12256.0,12219.75,-36.25,20,3,neutral,1.0,0.5,2.0,-36.75,-73.5
donchian_simple_60m,MNQ,short,2023-01-30T15:00:00+00:00,2023-01-30T18:00:00+00:00,2023-01-30,12027.0,12021.25,5.75,20,3,compression,1.0,0.5,2.0,5.25,10.5
donchian_simple_60m,MNQ,short,2023-01-30T20:00:00+00:00,2023-01-31T00:00:00+00:00,2023-01-30,11971.0,11995.5,-24.5,20,3,compression,1.0,0.5,2.0,-25.0,-50.0
donchian_simple_60m,MNQ,short,2023-01-31T03:00:00+00:00,2023-01-31T06:00:00+00:00,2023-01-30,11932.25,11941.75,-9.5,20,3,compression,1.0,0.5,2.0,-10.0,-20.0
donchian_simple_60m,MNQ,short,2023-01-31T10:00:00+00:00,2023-01-31T13:00:00+00:00,2023-01-31,11886.0,12001.0,-115.0,20,3,expansion,1.0,0.5,2.0,-115.5,-231.0
donchian_simple_60m,MNQ,long,2023-01-31T15:00:00+00:00,2023-01-31T18:00:00+00:00,2023-01-31,12074.0,12095.25,21.25,20,3,expansion,1.0,0.5,2.0,20.75,41.5
donchian_simple_60m,MNQ,long,2023-01-31T19:00:00+00:00,2023-01-31T23:00:00+00:00,2023-01-31,12110.75,12103.25,-7.5,20,3,expansion,1.0,0.5,2.0,-8.0,-16.0
donchian_simple_60m,MNQ,long,2023-02-01T19:00:00+00:00,2023-02-01T23:00:00+00:00,2023-02-01,12339.25,12545.25,206.0,20,3,expansion,1.0,0.5,2.0,205.5,411.0
donchian_simple_60m,MNQ,long,2023-02-02T08:00:00+00:00,2023-02-02T11:00:00+00:00,2023-02-02,12604.25,12568.25,-36.0,20,3,expansion,1.0,0.5,2.0,-36.5,-73.0
donchian_simple_60m,MNQ,long,2023-02-02T12:00:00+00:00,2023-02-02T15:00:00+00:00,2023-02-02,12611.75,12804.0,192.25,20,3,expansion,1.0,0.5,2.0,191.75,383.5
donchian_simple_60m,MNQ,long,2023-02-02T18:00:00+00:00,2023-02-02T21:00:00+00:00,2023-02-02,12927.25,12672.0,-255.25,20,3,expansion,1.0,0.5,2.0,-255.75,-511.5
donchian_simple_60m,MNQ,short,2023-02-06T08:00:00+00:00,2023-02-06T11:00:00+00:00,2023-02-06,12534.75,12493.0,41.75,20,3,compression,1.0,0.5,2.0,41.25,82.5
donchian_simple_60m,MNQ,long,2023-02-07T17:00:00+00:00,2023-02-07T20:00:00+00:00,2023-02-07,12742.5,12772.25,29.75,20,3,compression,1.0,0.5,2.0,29.25,58.5
donchian_simple_60m,MNQ,short,2023-02-09T19:00:00+00:00,2023-02-09T23:00:00+00:00,2023-02-09,12468.0,12435.0,33.0,20,3,neutral,1.0,0.5,2.0,32.5,65.0
donchian_simple_60m,MNQ,short,2023-02-10T09:00:00+00:00,2023-02-10T12:00:00+00:00,2023-02-10,12333.5,12286.75,46.75,20,3,expansion,1.0,0.5,2.0,46.25,92.5
donchian_simple_60m,MNQ,long,2023-02-13T14:00:00+00:00,2023-02-13T17:00:00+00:00,2023-02-13,12461.0,12536.0,75.0,20,3,compression,1.0,0.5,2.0,74.5,149.0
donchian_simple_60m,MNQ,long,2023-02-13T18:00:00+00:00,2023-02-13T21:00:00+00:00,2023-02-13,12559.5,12545.0,-14.5,20,3,compression,1.0,0.5,2.0,-15.0,-30.0
donchian_simple_60m,MNQ,long,2023-02-14T10:00:00+00:00,2023-02-14T13:00:00+00:00,2023-02-14,12583.25,12518.5,-64.75,20,3,neutral,1.0,0.5,2.0,-65.25,-130.5
donchian_simple_60m,MNQ,long,2023-02-15T18:00:00+00:00,2023-02-15T21:00:00+00:00,2023-02-15,12681.75,12749.75,68.0,20,3,neutral,1.0,0.5,2.0,67.5,135.0
donchian_simple_60m,MNQ,long,2023-02-16T00:00:00+00:00,2023-02-16T03:00:00+00:00,2023-02-15,12764.0,12780.0,16.0,20,3,neutral,1.0,0.5,2.0,15.5,31.0
donchian_simple_60m,MNQ,short,2023-02-16T20:00:00+00:00,2023-02-17T00:00:00+00:00,2023-02-16,12481.75,12431.5,50.25,20,3,neutral,1.0,0.5,2.0,49.75,99.5
donchian_simple_60m,MNQ,short,2023-02-17T02:00:00+00:00,2023-02-17T05:00:00+00:00,2023-02-16,12414.75,12399.75,15.0,20,3,neutral,1.0,0.5,2.0,14.5,29.0
donchian_simple_60m,MNQ,short,2023-02-17T06:00:00+00:00,2023-02-17T09:00:00+00:00,2023-02-17,12389.5,12379.75,9.75,20,3,expansion,1.0,0.5,2.0,9.25,18.5
donchian_simple_60m,MNQ,short,2023-02-17T14:00:00+00:00,2023-02-17T17:00:00+00:00,2023-02-17,12328.75,12282.5,46.25,20,3,expansion,1.0,0.5,2.0,45.75,91.5
donchian_simple_60m,MNQ,short,2023-02-21T07:00:00+00:00,2023-02-21T10:00:00+00:00,2023-02-21,12320.0,12266.5,53.5,20,3,compression,1.0,0.5,2.0,53.0,106.0
donchian_simple_60m,MNQ,short,2023-02-21T15:00:00+00:00,2023-02-21T18:00:00+00:00,2023-02-21,12187.5,12138.5,49.0,20,3,compression,1.0,0.5,2.0,48.5,97.0
donchian_simple_60m,MNQ,short,2023-02-21T19:00:00+00:00,2023-02-21T23:00:00+00:00,2023-02-21,12124.25,12114.5,9.75,20,3,compression,1.0,0.5,2.0,9.25,18.5
donchian_simple_60m,MNQ,long,2023-02-23T01:00:00+00:00,2023-02-23T04:00:00+00:00,2023-02-22,12198.25,12206.5,8.25,20,3,neutral,1.0,0.5,2.0,7.75,15.5
donchian_simple_60m,MNQ,short,2023-02-23T16:00:00+00:00,2023-02-23T19:00:00+00:00,2023-02-23,12032.0,12191.0,-159.0,20,3,compression,1.0,0.5,2.0,-159.5,-319.0
donchian_simple_60m,MNQ,short,2023-02-24T13:00:00+00:00,2023-02-24T16:00:00+00:00,2023-02-24,11998.5,11990.75,7.75,20,3,neutral,1.0,0.5,2.0,7.25,14.5
donchian_simple_60m,MNQ,long,2023-02-27T13:00:00+00:00,2023-02-27T16:00:00+00:00,2023-02-27,12137.5,12100.75,-36.75,20,3,compression,1.0,0.5,2.0,-37.25,-74.5
donchian_simple_60m,MNQ,short,2023-02-28T07:00:00+00:00,2023-02-28T10:00:00+00:00,2023-02-28,12042.5,12092.25,-49.75,20,3,neutral,1.0,0.5,2.0,-50.25,-100.5
donchian_simple_60m,MNQ,long,2023-02-28T18:00:00+00:00,2023-02-28T21:00:00+00:00,2023-02-28,12162.0,12040.75,-121.25,20,3,neutral,1.0,0.5,2.0,-121.75,-243.5
donchian_simple_60m,MNQ,short,2023-02-28T23:00:00+00:00,2023-03-01T02:00:00+00:00,2023-02-28,12022.25,12055.0,-32.75,20,3,neutral,1.0,0.5,2.0,-33.25,-66.5
donchian_simple_60m,MNQ,short,2023-03-02T01:00:00+00:00,2023-03-02T04:00:00+00:00,2023-03-01,11886.25,11904.0,-17.75,20,3,neutral,1.0,0.5,2.0,-18.25,-36.5
donchian_simple_60m,MNQ,long,2023-03-02T18:00:00+00:00,2023-03-02T21:00:00+00:00,2023-03-02,11999.25,12051.75,52.5,20,3,expansion,1.0,0.5,2.0,52.0,104.0
donchian_simple_60m,MNQ,long,2023-03-03T11:00:00+00:00,2023-03-03T14:00:00+00:00,2023-03-03,12111.75,12189.75,78.0,20,3,neutral,1.0,0.5,2.0,77.5,155.0
donchian_simple_60m,MNQ,long,2023-03-03T17:00:00+00:00,2023-03-03T20:00:00+00:00,2023-03-03,12265.0,12312.25,47.25,20,3,neutral,1.0,0.5,2.0,46.75,93.5
donchian_simple_60m,MNQ,long,2023-03-03T21:00:00+00:00,2023-03-06T01:00:00+00:00,2023-03-03,12326.5,12311.75,-14.75,20,3,neutral,1.0,0.5,2.0,-15.25,-30.5
donchian_simple_60m,MNQ,long,2023-03-06T02:00:00+00:00,2023-03-06T05:00:00+00:00,2023-03-05,12354.5,12343.0,-11.5,20,3,expansion,1.0,0.5,2.0,-12.0,-24.0
donchian_simple_60m,MNQ,long,2023-03-06T15:00:00+00:00,2023-03-06T18:00:00+00:00,2023-03-06,12455.0,12362.0,-93.0,20,3,compression,1.0,0.5,2.0,-93.5,-187.0
donchian_simple_60m,MNQ,short,2023-03-07T15:00:00+00:00,2023-03-07T18:00:00+00:00,2023-03-07,12215.5,12183.5,32.0,20,3,neutral,1.0,0.5,2.0,31.5,63.0
donchian_simple_60m,MNQ,short,2023-03-07T19:00:00+00:00,2023-03-07T23:00:00+00:00,2023-03-07,12146.25,12176.5,-30.25,20,3,neutral,1.0,0.5,2.0,-30.75,-61.5
donchian_simple_60m,MNQ,long,2023-03-08T16:00:00+00:00,2023-03-08T19:00:00+00:00,2023-03-08,12244.0,12179.5,-64.5,20,3,neutral,1.0,0.5,2.0,-65.0,-130.0
donchian_simple_60m,MNQ,long,2023-03-09T13:00:00+00:00,2023-03-09T16:00:00+00:00,2023-03-09,12254.75,12285.75,31.0,20,3,compression,1.0,0.5,2.0,30.5,61.0
donchian_simple_60m,MNQ,short,2023-03-09T18:00:00+00:00,2023-03-09T21:00:00+00:00,2023-03-09,12115.0,12009.0,106.0,20,3,compression,1.0,0.5,2.0,105.5,211.0
donchian_simple_60m,MNQ,short,2023-03-10T14:00:00+00:00,2023-03-10T17:00:00+00:00,2023-03-10,11909.0,11899.5,9.5,20,3,expansion,1.0,0.5,2.0,9.0,18.0
donchian_simple_60m,MNQ,short,2023-03-10T18:00:00+00:00,2023-03-10T21:00:00+00:00,2023-03-10,11809.25,11885.25,-76.0,20,3,expansion,1.0,0.5,2.0,-76.5,-153.0
donchian_simple_60m,MNQ,long,2023-03-13T02:00:00+00:00,2023-03-13T05:00:00+00:00,2023-03-12,12174.75,12192.25,17.5,20,3,expansion,1.0,0.5,2.0,17.0,34.0
donchian_simple_60m,MNQ,long,2023-03-13T06:00:00+00:00,2023-03-13T09:00:00+00:00,2023-03-13,12204.5,12018.25,-186.25,20,3,neutral,1.0,0.5,2.0,-186.75,-373.5
donchian_simple_60m,MNQ,long,2023-03-14T13:00:00+00:00,2023-03-14T16:00:00+00:00,2023-03-14,12260.75,12319.5,58.75,20,3,expansion,1.0,0.5,2.0,58.25,116.5
donchian_simple_60m,MNQ,long,2023-03-15T02:00:00+00:00,2023-03-15T05:00:00+00:00,2023-03-14,12366.25,12331.25,-35.0,20,3,expansion,1.0,0.5,2.0,-35.5,-71.0
donchian_simple_60m,MNQ,short,2023-03-15T10:00:00+00:00,2023-03-15T13:00:00+00:00,2023-03-15,12135.25,12209.5,-74.25,20,3,expansion,1.0,0.5,2.0,-74.75,-149.5
donchian_simple_60m,MNQ,long,2023-03-15T18:00:00+00:00,2023-03-15T22:00:00+00:00,2023-03-15,12375.75,12418.25,42.5,20,3,expansion,1.0,0.5,2.0,42.0,84.0
donchian_simple_60m,MNQ,long,2023-03-16T00:00:00+00:00,2023-03-16T03:00:00+00:00,2023-03-15,12452.0,12429.5,-22.5,20,3,expansion,1.0,0.5,2.0,-23.0,-46.0
donchian_simple_60m,MNQ,long,2023-03-16T14:00:00+00:00,2023-03-16T17:00:00+00:00,2023-03-16,12518.75,12662.5,143.75,20,3,expansion,1.0,0.5,2.0,143.25,286.5
donchian_simple_60m,MNQ,long,2023-03-16T18:00:00+00:00,2023-03-16T22:00:00+00:00,2023-03-16,12688.75,12717.0,28.25,20,3,expansion,1.0,0.5,2.0,27.75,55.5
donchian_simple_60m,MNQ,long,2023-03-17T04:00:00+00:00,2023-03-17T07:00:00+00:00,2023-03-17,12737.25,12739.5,2.25,20,3,expansion,1.0,0.5,2.0,1.75,3.5
donchian_simple_60m,MNQ,long,2023-03-21T11:00:00+00:00,2023-03-21T14:00:00+00:00,2023-03-21,12782.0,12732.0,-50.0,20,3,neutral,1.0,0.5,2.0,-50.5,-101.0
donchian_simple_60m,MNQ,long,2023-03-21T18:00:00+00:00,2023-03-21T22:00:00+00:00,2023-03-21,12840.25,12867.0,26.75,20,3,neutral,1.0,0.5,2.0,26.25,52.5
donchian_simple_60m,MNQ,long,2023-03-22T14:00:00+00:00,2023-03-22T17:00:00+00:00,2023-03-22,12913.75,12920.5,6.75,20,3,neutral,1.0,0.5,2.0,6.25,12.5
donchian_simple_60m,MNQ,short,2023-03-22T19:00:00+00:00,2023-03-22T23:00:00+00:00,2023-03-22,12698.75,12718.75,-20.0,20,3,neutral,1.0,0.5,2.0,-20.5,-41.0
donchian_simple_60m,MNQ,long,2023-03-24T20:00:00+00:00,2023-03-27T00:00:00+00:00,2023-03-24,12924.25,12921.5,-2.75,20,3,neutral,1.0,0.5,2.0,-3.25,-6.5
donchian_simple_60m,MNQ,short,2023-03-27T15:00:00+00:00,2023-03-27T18:00:00+00:00,2023-03-27,12781.75,12856.5,-74.75,20,3,compression,1.0,0.5,2.0,-75.25,-150.5
donchian_simple_60m,MNQ,short,2023-03-28T07:00:00+00:00,2023-03-28T10:00:00+00:00,2023-03-28,12762.75,12765.0,-2.25,20,3,neutral,1.0,0.5,2.0,-2.75,-5.5
donchian_simple_60m,MNQ,short,2023-03-28T13:00:00+00:00,2023-03-28T16:00:00+00:00,2023-03-28,12692.5,12683.25,9.25,20,3,neutral,1.0,0.5,2.0,8.75,17.5
donchian_simple_60m,MNQ,short,2023-03-28T17:00:00+00:00,2023-03-28T20:00:00+00:00,2023-03-28,12640.0,12749.0,-109.0,20,3,neutral,1.0,0.5,2.0,-109.5,-219.0
donchian_simple_60m,MNQ,long,2023-03-29T05:00:00+00:00,2023-03-29T08:00:00+00:00,2023-03-29,12815.75,12840.5,24.75,20,3,compression,1.0,0.5,2.0,24.25,48.5
donchian_simple_60m,MNQ,long,2023-03-29T13:00:00+00:00,2023-03-29T16:00:00+00:00,2023-03-29,12915.25,12898.25,-17.0,20,3,compression,1.0,0.5,2.0,-17.5,-35.0
donchian_simple_60m,MNQ,long,2023-03-29T18:00:00+00:00,2023-03-29T22:00:00+00:00,2023-03-29,12948.25,12955.5,7.25,20,3,compression,1.0,0.5,2.0,6.75,13.5
donchian_simple_60m,MNQ,long,2023-03-30T09:00:00+00:00,2023-03-30T12:00:00+00:00,2023-03-30,13007.25,13051.0,43.75,20,3,neutral,1.0,0.5,2.0,43.25,86.5
donchian_simple_60m,MNQ,long,2023-03-30T13:00:00+00:00,2023-03-30T16:00:00+00:00,2023-03-30,13079.75,13050.75,-29.0,20,3,neutral,1.0,0.5,2.0,-29.5,-59.0
donchian_simple_60m,MNQ,long,2023-03-31T00:00:00+00:00,2023-03-31T03:00:00+00:00,2023-03-30,13134.5,13130.0,-4.5,20,3,neutral,1.0,0.5,2.0,-5.0,-10.0
donchian_simple_60m,MNQ,long,2023-03-31T13:00:00+00:00,2023-03-31T16:00:00+00:00,2023-03-31,13143.0,13228.0,85.0,20,3,compression,1.0,0.5,2.0,84.5,169.0
donchian_simple_60m,MNQ,long,2023-03-31T18:00:00+00:00,2023-04-02T22:00:00+00:00,2023-03-31,13247.5,13258.5,11.0,20,3,compression,1.0,0.5,2.0,10.5,21.0
donchian_simple_60m,MNQ,short,2023-04-03T14:00:00+00:00,2023-04-03T17:00:00+00:00,2023-04-03,13178.75,13175.0,3.75,20,3,compression,1.0,0.5,2.0,3.25,6.5
donchian_simple_60m,MNQ,long,2023-04-03T19:00:00+00:00,2023-04-03T23:00:00+00:00,2023-04-03,13268.75,13247.0,-21.75,20,3,compression,1.0,0.5,2.0,-22.25,-44.5
donchian_simple_60m,MNQ,long,2023-04-04T09:00:00+00:00,2023-04-04T12:00:00+00:00,2023-04-04,13344.25,13303.5,-40.75,20,3,compression,1.0,0.5,2.0,-41.25,-82.5
donchian_simple_60m,MNQ,short,2023-04-05T13:00:00+00:00,2023-04-05T16:00:00+00:00,2023-04-05,13137.5,13021.5,116.0,20,3,compression,1.0,0.5,2.0,115.5,231.0
donchian_simple_60m,MNQ,long,2023-04-06T15:00:00+00:00,2023-04-06T18:00:00+00:00,2023-04-06,13124.0,13168.25,44.25,20,3,neutral,1.0,0.5,2.0,43.75,87.5
donchian_simple_60m,MNQ,short,2023-04-10T06:00:00+00:00,2023-04-10T09:00:00+00:00,2023-04-10,13110.75,13155.5,-44.75,20,3,compression,1.0,0.5,2.0,-45.25,-90.5
donchian_simple_60m,MNQ,short,2023-04-10T12:00:00+00:00,2023-04-10T15:00:00+00:00,2023-04-10,13059.75,13052.0,7.75,20,3,compression,1.0,0.5,2.0,7.25,14.5
donchian_simple_60m,MNQ,long,2023-04-10T20:00:00+00:00,2023-04-11T00:00:00+00:00,2023-04-10,13166.0,13161.75,-4.25,20,3,compression,1.0,0.5,2.0,-4.75,-9.5
donchian_simple_60m,MNQ,long,2023-04-11T08:00:00+00:00,2023-04-11T11:00:00+00:00,2023-04-11,13190.25,13136.0,-54.25,20,3,neutral,1.0,0.5,2.0,-54.75,-109.5
donchian_simple_60m,MNQ,short,2023-04-11T14:00:00+00:00,2023-04-11T17:00:00+00:00,2023-04-11,13064.5,13122.25,-57.75,20,3,neutral,1.0,0.5,2.0,-58.25,-116.5
donchian_simple_60m,MNQ,long,2023-04-12T12:00:00+00:00,2023-04-12T15:00:00+00:00,2023-04-12,13174.0,13071.25,-102.75,20,3,neutral,1.0,0.5,2.0,-103.25,-206.5
donchian_simple_60m,MNQ,short,2023-04-12T19:00:00+00:00,2023-04-12T23:00:00+00:00,2023-04-12,12958.5,12931.5,27.0,20,3,neutral,1.0,0.5,2.0,26.5,53.0
donchian_simple_60m,MNQ,long,2023-04-13T14:00:00+00:00,2023-04-13T17:00:00+00:00,2023-04-13,13109.25,13192.0,82.75,20,3,expansion,1.0,0.5,2.0,82.25,164.5
donchian_simple_60m,MNQ,long,2023-04-13T18:00:00+00:00,2023-04-13T22:00:00+00:00,2023-04-13,13206.75,13194.25,-12.5,20,3,expansion,1.0,0.5,2.0,-13.0,-26.0
donchian_simple_60m,MNQ,long,2023-04-14T13:00:00+00:00,2023-04-14T16:00:00+00:00,2023-04-14,13237.5,13069.5,-168.0,20,3,expansion,1.0,0.5,2.0,-168.5,-337.0
donchian_simple_60m,MNQ,long,2023-04-18T08:00:00+00:00,2023-04-18T11:00:00+00:00,2023-04-18,13241.75,13277.75,36.0,20,3,neutral,1.0,0.5,2.0,35.5,71.0
donchian_simple_60m,MNQ,short,2023-04-19T06:00:00+00:00,2023-04-19T09:00:00+00:00,2023-04-19,13123.75,13076.0,47.75,20,3,neutral,1.0,0.5,2.0,47.25,94.5
donchian_simple_60m,MNQ,long,2023-04-19T17:00:00+00:00,2023-04-19T20:00:00+00:00,2023-04-19,13207.75,13167.75,-40.0,20,3,neutral,1.0,0.5,2.0,-40.5,-81.0
donchian_simple_60m,MNQ,short,2023-04-20T08:00:00+00:00,2023-04-20T11:00:00+00:00,2023-04-20,13035.25,13047.25,-12.0,20,3,neutral,1.0,0.5,2.0,-12.5,-25.0
donchian_simple_60m,MNQ,short,2023-04-21T10:00:00+00:00,2023-04-21T13:00:00+00:00,2023-04-21,13012.75,12995.5,17.25,20,3,neutral,1.0,0.5,2.0,16.75,33.5
donchian_simple_60m,MNQ,short,2023-04-24T15:00:00+00:00,2023-04-24T18:00:00+00:00,2023-04-24,12979.0,13052.25,-73.25,20,3,compression,1.0,0.5,2.0,-73.75,-147.5
donchian_simple_60m,MNQ,short,2023-04-25T14:00:00+00:00,2023-04-25T17:00:00+00:00,2023-04-25,12951.0,12860.75,90.25,20,3,neutral,1.0,0.5,2.0,89.75,179.5
donchian_simple_60m,MNQ,short,2023-04-25T18:00:00+00:00,2023-04-25T22:00:00+00:00,2023-04-25,12842.25,12966.0,-123.75,20,3,neutral,1.0,0.5,2.0,-124.25,-248.5
donchian_simple_60m,MNQ,long,2023-04-27T12:00:00+00:00,2023-04-27T15:00:00+00:00,2023-04-27,13021.5,13136.75,115.25,20,3,neutral,1.0,0.5,2.0,114.75,229.5
donchian_simple_60m,MNQ,long,2023-04-27T16:00:00+00:00,2023-04-27T19:00:00+00:00,2023-04-27,13172.75,13231.25,58.5,20,3,neutral,1.0,0.5,2.0,58.0,116.0
donchian_simple_60m,MNQ,long,2023-04-27T20:00:00+00:00,2023-04-28T00:00:00+00:00,2023-04-27,13262.75,13207.5,-55.25,20,3,neutral,1.0,0.5,2.0,-55.75,-111.5
donchian_simple_60m,MNQ,long,2023-04-28T19:00:00+00:00,2023-04-30T23:00:00+00:00,2023-04-28,13323.5,13307.25,-16.25,20,3,expansion,1.0,0.5,2.0,-16.75,-33.5
donchian_simple_60m,MNQ,long,2023-05-01T06:00:00+00:00,2023-05-01T09:00:00+00:00,2023-05-01,13354.25,13318.5,-35.75,20,3,compression,1.0,0.5,2.0,-36.25,-72.5
